text,x0,x1,doctop,bottom,label
0.75,157.1431,168.81910000000002,13.800499999999971,19.80049999999997,-1
2.44,215.8711,227.54710000000003,52.980500000000006,58.980500000000006,0
2.34,215.8711,227.54710000000003,60.9785,66.9785,0
3.1,92.6626,104.3386,62.97999999999999,68.97999999999999,1
2.24,215.8711,227.54710000000003,68.97649999999999,74.97649999999999,0
3.0,92.6626,104.3386,70.97799999999998,76.97799999999998,1
0.5,254.1108,265.7868,78.32079999999999,84.32079999999999,-1
2.9,92.6626,104.3386,78.97599999999997,84.97599999999997,1
1.7,276.2827,287.9587,112.0474,118.0474,2
1.6,276.2827,287.9587,120.0454,126.0454,2
1.5,276.2827,287.9587,128.04340000000002,134.04340000000002,2
0.5,164.0933,175.76930000000002,130.1196,136.1196,3
0.4,164.0933,175.76930000000002,138.1176,144.1176,3
0.3,164.0933,175.76930000000002,146.11560000000003,152.11560000000003,3
0.2,277.4189,289.0949,149.6626,155.6626,-1
0.8,45.0796,56.7556,179.5513,185.5513,4
0.05,155.4736,167.14960000000002,185.6206,191.6206,-1
0.75,45.0796,56.7556,187.5493,193.5493,4
0.02,155.4736,167.14960000000002,193.6186,199.6186,-1
0.7,45.0796,56.7556,195.5473,201.5473,4
0.08,174.3319,186.0079,207.9917,213.9917,-1
0.3,87.3657,99.0417,210.061,216.061,5
0.203,148.9717,163.9837,216.4048,222.4048,-1
0.25,87.3657,99.0417,218.059,224.059,5
0.2,87.3657,99.0417,226.057,232.057,5
