text,x0,x1,doctop,bottom,label
0.90,167.2151,178.89110000000002,27.98509999999996,33.98509999999996,-1
4.10,97.0635,108.7395,77.2208,83.2208,0
0.39,201.3495,213.0255,78.17479999999998,84.17479999999998,1
4.00,97.0635,108.7395,85.21879999999999,91.2188,0
0.33,201.3495,213.0255,86.17279999999997,92.17279999999997,1
3.90,97.0635,108.7395,93.21679999999998,99.21679999999998,0
0.27,201.3495,213.0255,94.17079999999996,100.17079999999996,1
)03.0(,273.1490319,286.1892707,101.6235089,106.6743429,-1
0.65,168.5874,180.2634,111.7599,117.7599,-1
2.55,281.9771,293.6531,126.1691,132.1691,2
2.40,281.9771,293.6531,134.16709999999998,140.16709999999998,2
2.25,281.9771,293.6531,142.1651,148.1651,2
*0.70,162.5414,176.55140000000003,162.4536,170.45159999999998,3
0.20,274.96680000000003,286.6428,166.9875,172.9875,-1
0.60,164.8754,176.55140000000003,172.4496,178.4496,3
0.50,164.8754,176.55140000000003,180.4476,186.4476,3
1.95,214.875,226.551,180.735,186.735,-1
1.00,43.0537,54.7297,189.7663,195.7663,4
0.90,43.0537,54.7297,197.7643,203.7643,4
0.05,168.1626,179.8386,201.3273,207.3273,-1
0.80,43.0537,54.7297,205.7623,211.7623,4
0.02,168.1626,179.8386,209.3253,215.3253,-1
0.08,191.493,203.169,222.4596,228.4596,-1
0.20,155.0688,166.74480000000003,229.8375,235.8375,-1
