text,x0,x1,doctop,bottom,label
4.1,158.9414,170.6174,114.28419999999994,120.28419999999994,0
0.3,267.5873,279.2633,114.81780000000003,120.81780000000003,1
4.0,158.9414,170.6174,122.2822,128.2822,0
0.25,267.5873,279.2633,122.81580000000008,128.81580000000008,1
3.9,158.9414,170.6174,130.28020000000004,136.28020000000004,0
0.18,267.5873,279.2633,130.81380000000013,136.81380000000013,1
0.5,229.5337,241.20970000000003,146.9672999999999,152.9672999999999,-1
2.3,343.522,355.198,163.89839999999992,169.89839999999992,2
2.1,343.522,355.198,171.89639999999997,177.89639999999997,2
2.0,343.522,355.198,179.89440000000002,185.8944,2
0.65,226.4453,238.1213,202.0938,208.0938,3
0.2,337.1446,348.8206,202.6894,208.6894,-1
0.6,226.4453,238.1213,210.09180000000003,216.09180000000003,3
0.55,226.4453,238.1213,218.08980000000008,224.08980000000008,3
0.8,104.5894,116.2654,226.56689999999992,232.56689999999992,4
0.75,104.5894,116.2654,234.5649,240.5649,4
0.05,229.7163,241.3923,238.4932,244.4932,-1
0.7,104.5894,116.2654,242.5629,248.5629,4
0.02,229.7163,241.3923,246.49120000000005,252.49120000000005,-1
0.08,253.0467,264.72270000000003,259.6245,265.6245,-1
0.2,216.6226,228.2986,267.00339999999994,273.00339999999994,-1
