text,x0,x1,doctop,bottom,label
0.75,160.7956,172.47160000000002,17.9229,23.9229,-1
4.1,90.1133,101.7893,61.59819999999999,67.59819999999999,0
0.3,186.584,198.26,63.30469999999997,69.30469999999997,1
4.0,90.1133,101.7893,69.59619999999998,75.59619999999998,0
0.25,186.584,198.26,71.30269999999996,77.30269999999996,1
3.9,90.1133,101.7893,77.59419999999997,83.59419999999997,0
0.2,186.584,198.26,79.30069999999995,85.30069999999995,1
0.5,163.2993,174.9753,106.1573,112.1573,-1
2.44,264.1001,275.7761,110.9483,116.9483,2
2.3,264.1001,275.7761,118.94629999999998,124.94629999999998,2
2.16,264.1001,275.7761,126.94429999999996,132.94429999999997,2
0.5,157.6172,169.2932,149.40779999999998,155.40779999999998,3
0.2,267.9375,279.6135,151.79059999999998,157.79059999999998,-1
0.4,157.6172,169.2932,157.4058,163.4058,3
0.3,157.6172,169.2932,165.4038,171.4038,3
0.8,40.0269,51.7029,174.21979999999996,180.2198,4
0.75,40.0269,51.7029,182.2178,188.2178,4
0.05,157.5132,169.18920000000003,185.8062,191.8062,-1
0.7,40.0269,51.7029,190.2158,196.2158,4
0.02,157.5132,169.18920000000003,193.8042,199.8042,-1
0.08,177.6771,189.3531,206.9395,212.9395,-1
0.203,145.7524,160.76440000000002,214.4312,220.4312,-1
