text,x0,x1,doctop,bottom,label
2.54,223.6611,235.3371,55.73290000000003,61.73290000000003,0
2.44,223.6611,235.3371,63.73090000000002,69.73090000000002,0
3.10,103.5527,115.2287,70.92580000000001,76.92580000000001,1
2.34,223.6611,235.3371,71.72890000000001,77.72890000000001,0
3.00,103.5527,115.2287,78.9238,84.9238,1
0.65,224.0469,235.7229,82.19830000000002,88.19830000000002,0
2.90,103.5527,115.2287,86.92179999999999,92.9218,1
1.70,286.9473,298.6233,118.13330000000002,124.13330000000002,2
1.60,286.9473,298.6233,126.1313,132.1313,2
0.45,175.6731,187.3491,133.6669,139.6669,3
1.50,286.9473,298.6233,134.1293,140.1293,2
0.40,175.6731,187.3491,141.66490000000002,147.66490000000002,3
0.35,175.6731,187.3491,149.66290000000004,155.66290000000004,3
0.20,287.0009,298.6769,153.7427,159.7427,-1
)02.0,293.4793983999999,307.1299983999999,175.18847920000002,181.2418078,-1
0.80,50.444300000000005,62.1203,185.4646,191.4646,4
0.05,174.6797,186.3557,191.70660000000004,197.70660000000004,-1
0.75,50.444300000000005,62.1203,193.4626,199.4626,4
0.02,174.6797,186.3557,199.70460000000003,205.70460000000003,-1
0.70,50.444300000000005,62.1203,201.4606,207.4606,4
0.35,97.1563,108.8323,215.93850000000003,221.93850000000003,5
0.203,164.5049,179.51690000000002,222.4907,228.4907,-1
0.30,97.1563,108.8323,223.9365,229.9365,5
0.20,97.1563,108.8323,231.9345,237.9345,5
