text,x0,x1,doctop,bottom,label
4.1,132.8711,144.54710000000003,99.9932,105.9932,0
0.3,238.103,249.779,100.5268,106.5268,1
4.0,132.8711,144.54710000000003,107.9912,113.9912,0
0.25,238.103,249.779,108.5248,114.5248,1
3.9,132.8711,144.54710000000003,115.98919999999998,121.98919999999998,0
0.18,238.103,249.779,116.5228,122.5228,1
0.5,203.4634,215.1394,133.7559,139.7559,-1
2.65,317.4517,329.1277,149.6075,155.6075,2
2.5,317.4517,329.1277,157.60549999999998,163.60549999999998,2
2.45,317.4517,329.1277,165.60349999999997,171.60349999999997,2
0.5,200.375,212.051,187.8028,193.8028,3
0.25,311.0742,322.7502,188.3984,194.3984,-1
0.4,200.375,212.051,195.8008,201.8008,3
0.3,200.375,212.051,203.7988,209.7988,3
0.8,78.519,90.195,212.2759,218.2759,4
0.05,205.3955,217.0715,219.1055,225.1055,-1
0.75,78.519,90.195,220.2739,226.2739,4
0.02,205.3955,217.0715,227.1035,233.1035,-1
0.7,78.519,90.195,228.2719,234.2719,4
0.08,225.1014,236.77740000000003,244.8335,250.8335,-1
0.2,190.5522,202.2282,252.7124,258.7124,-1
