text,x0,x1,doctop,bottom,label
0.75,159.7104,171.38640000000004,18.8287,24.8287,-1
2.48,208.1724,219.84840000000003,53.83269999999999,59.83269999999999,0
2.38,208.1724,219.84840000000003,61.83069999999998,67.83069999999998,0
3.1,89.4849,101.1609,65.08269999999999,71.08269999999999,1
2.23,208.1724,219.84840000000003,69.82869999999997,75.82869999999997,0
3.0,89.4849,101.1609,73.08069999999998,79.08069999999998,1
0.5,255.7866,267.4626,79.17309999999998,85.17309999999998,-1
2.9,89.4849,101.1609,81.07869999999997,87.07869999999997,1
1.74,271.4585,283.1345,112.8996,118.8996,2
1.64,271.4585,283.1345,120.8976,126.8976,2
0.5,160.6464,172.32240000000002,128.7487,134.7487,3
1.49,271.4585,283.1345,128.8956,134.8956,2
0.4,160.6464,172.32240000000002,136.74669999999998,142.74669999999998,3
0.3,160.6464,172.32240000000002,144.74469999999997,150.74469999999997,3
0.2,267.3672,279.0432,148.406,154.406,-1
0.8,36.5229,48.1989,180.2326,186.2326,4
0.05,156.0029,167.67890000000003,186.4729,192.4729,-1
0.75,36.5229,48.1989,188.2306,194.2306,4
0.02,156.0029,167.67890000000003,194.4709,200.4709,-1
0.7,36.5229,48.1989,196.2286,202.2286,4
0.08,174.995,186.671,207.6936,213.6936,-1
0.3,88.1187,99.7947,210.9133,216.9133,5
0.2,146.5786,158.2546,217.2571,223.2571,-1
0.25,88.1187,99.7947,218.9113,224.9113,5
0.2,88.1187,99.7947,226.9093,232.9093,5
