text,x0,x1,doctop,bottom,label
9.1,124.5811,136.2571,82.506,88.506,0
0.3,335.4863,347.1623,84.27260000000001,90.2726,1
9.0,124.5811,136.2571,90.504,96.504,0
0.6,274.2734,285.9494,91.9797,97.9797,-1
0.25,335.4863,347.1623,92.2706,98.2706,1
8.9,124.5811,136.2571,98.50199999999998,104.50199999999998,0
0.6,232.957,244.633,99.8771,105.8771,-1
0.18,335.4863,347.1623,100.2686,106.2686,1
8.85,197.498,209.174,143.506,149.506,2
0.5,231.1289,242.8049,144.6232,150.6232,-1
5.36,373.1358,384.8118,145.1399,151.1399,3
8.75,197.498,209.174,151.504,157.504,2
5.21,373.1358,384.8118,153.1379,159.1379,3
8.65,197.498,209.174,159.50199999999998,165.50199999999998,2
5.06,373.1358,384.8118,161.1359,167.1359,3
0.5,231.3672,243.0432,186.9997,192.9997,4
0.4,231.3672,243.0432,194.9977,200.9977,4
0.3,231.3672,243.0432,202.9957,208.9957,4
0.25,374.7896,386.4656,207.902,213.902,-1
7.5,297.584,309.26,220.2184,226.2184,-1
0.8,156.8067,168.48270000000002,223.69010000000003,229.69010000000003,-1
1.0,53.4238,65.0998,227.0485,233.0485,5
0.65,156.8067,168.48270000000002,231.6881,237.6881,-1
0.85,53.4238,65.0998,235.0465,241.0465,5
0.05,214.292,225.968,239.1184,245.1184,-1
0.8,53.4238,65.0998,243.04450000000003,249.04450000000003,5
0.02,214.292,225.968,247.1164,253.1164,-1
0.2,197.8398,209.5158,261.72040000000004,267.72040000000004,-1
