text,x0,x1,doctop,bottom,label
0.75,154.975,166.651,19.07869999999994,25.07869999999994,-1
3.1,84.8843,96.5603,66.96569999999997,72.96569999999997,0
0.3,185.1421,196.8181,68.09069999999997,74.09069999999997,1
3.0,84.8843,96.5603,74.96369999999996,80.96369999999996,0
0.23,185.1421,196.8181,76.08869999999996,82.08869999999996,1
2.9,84.8843,96.5603,82.96169999999995,88.96169999999995,0
0.18,185.1421,196.8181,84.08669999999995,90.08669999999996,1
0.5,153.2412,164.9172,99.48179999999996,105.48179999999996,-1
1.45,268.459,280.135,116.63269999999996,122.63269999999996,2
1.3,268.459,280.135,124.63069999999996,130.63069999999996,2
1.15,268.459,280.135,132.62869999999995,138.62869999999995,2
0.2,261.6844,273.3604,151.68689999999998,157.68689999999998,-1
0.5,149.439,161.115,154.3173,160.3173,3
0.4,149.439,161.115,162.31529999999998,168.31529999999998,3
0.3,149.439,161.115,170.31329999999997,176.31329999999997,3
0.8,35.3003,46.9763,179.6137,185.6137,4
0.75,35.3003,46.9763,187.6117,193.6117,4
0.05,150.3262,162.00220000000002,191.1747,197.1747,-1
0.7,35.3003,46.9763,195.6097,201.6097,4
0.02,150.3262,162.00220000000002,199.1727,205.1727,-1
0.08,173.6566,185.3326,212.307,218.307,-1
0.2,138.7324,150.40840000000003,219.6849,225.6849,-1
