text,x0,x1,doctop,bottom,label
0.75,164.0708,175.7468,20.93149999999997,26.93149999999997,-1
0.3,196.1152,207.7912,65.0445,71.0445,0
5.1,92.9473,104.6233,65.7534,71.7534,1
0.25,196.1152,207.7912,73.04249999999999,79.04249999999999,0
5.0,92.9473,104.6233,73.75139999999999,79.75139999999999,1
0.2,196.1152,207.7912,81.04049999999998,87.04049999999998,0
4.9,92.9473,104.6233,81.74939999999998,87.74939999999998,1
0.5,164.1938,175.86980000000003,99.7061,105.7061,-1
3.24,267.4248,279.1008,113.37259999999998,119.37259999999998,2
3.14,267.4248,279.1008,121.3706,127.37059999999998,2
3.04,267.4248,279.1008,129.3686,135.3686,2
0.58,160.4956,172.1716,150.897,156.897,3
0.2,272.7061,284.3821,152.4732,158.4732,-1
0.53,160.4956,172.1716,158.89499999999998,164.89499999999998,3
0.48,160.4956,172.1716,166.893,172.893,3
0.8,39.07080000000002,50.74680000000002,175.8986,181.8986,4
0.75,39.07080000000002,50.74680000000002,183.8966,189.8966,4
0.05,163.9985,175.67450000000002,187.7544,193.7544,-1
0.7,39.07080000000002,50.74680000000002,191.8946,197.8946,4
0.02,163.9985,175.67450000000002,195.7524,201.7524,-1
0.08,187.329,199.005,208.8867,214.8867,-1
0.203,150.9048,165.91680000000002,214.5772,220.5772,-1
