text,x0,x1,doctop,bottom,label
0.75,158.4788,170.15480000000002,21.191899999999976,27.191899999999976,-1
3.1,91.0928,102.7688,71.2859,77.2859,0
0.3,193.9004,205.5764,71.9725,77.9725,1
3.0,91.0928,102.7688,79.28389999999999,85.28389999999999,0
0.23,193.9004,205.5764,79.97049999999999,85.97049999999999,1
2.9,91.0928,102.7688,87.28189999999998,93.28189999999998,0
0.18,193.9004,205.5764,87.96849999999998,93.96849999999998,1
0.5,162.1582,173.8342,103.61649999999996,109.61649999999996,-1
1.75,274.6309,286.3069,121.54569999999998,127.54569999999998,2
1.6,274.6309,286.3069,129.54369999999997,135.54369999999997,2
1.45,274.6309,286.3069,137.5417,143.5417,2
0.5,158.689,170.365,158.53499999999997,164.53499999999997,3
0.2,268.9961,280.67209999999994,158.90409999999997,164.90409999999997,-1
0.4,158.689,170.365,166.533,172.533,3
0.3,158.689,170.365,174.531,180.531,3
0.8,37.083,48.759,183.8309,189.8309,4
0.75,37.083,48.759,191.8289,197.8289,4
0.05,158.4419,170.11790000000002,195.3924,201.3924,-1
0.7,37.083,48.759,199.8269,205.8269,4
0.02,158.4419,170.11790000000002,203.3904,209.3904,-1
0.08,181.7723,193.4483,216.5252,222.5252,-1
0.2,145.3481,157.0241,223.9021,229.9021,-1
