厚度,外边长,EXPOSED_PAD宽度,脚长度,脚宽度,脚宽度,脚间距,拐角限制,芯片底到pcb最大距离,芯片底到pcb标准距离,针脚到pcb距离,COPLANARITY,未分类
1.00,4.10,2.55,*0.70,,0.39,)03.0(,0.20,1.95,0.05,0.20,0.02,
0.90,4.00,2.40,0.60,,0.33,0.65,,,,,0.08,
0.80,3.90,2.25,0.50,,0.27,,,,,,,
