厚度,外边长,EXPOSED_PAD宽度,脚长度,脚宽度,脚宽度,脚间距,拐角限制,芯片底到pcb最大距离,芯片底到pcb标准距离,针脚到pcb距离,COPLANARITY,未分类
1.0,9.1,0.25,0.5,,0.3,0.6,0.25,7.5,0.8,0.2,0.65,8.65
0.85,9.0,0.18,0.4,,8.85,0.6,,,,,0.05,
0.8,8.9,5.36,0.3,,8.75,0.5,,,,,0.02,
,,5.21,,,,,,,,,,
,,5.06,,,,,,,,,,
