厚度,外边长,EXPOSED_PAD宽度,脚长度,脚宽度,脚宽度,脚间距,拐角限制,芯片底到pcb最大距离,芯片底到pcb标准距离,针脚到pcb距离,COPLANARITY,未分类
0.8,5.1,3.24,0.58,,0.3,0.5,0.2,0.05,0.02,0.203,0.08,
0.75,5.0,3.14,0.53,,0.25,,,,,,,
0.7,4.9,3.04,0.48,,0.2,,,,,,,
