厚度,外边长,EXPOSED_PAD宽度,脚长度,脚宽度,EXPOSED_PAD长度,脚间距,拐角限制,芯片底到pcb最大距离,芯片底到pcb标准距离,针脚到pcb距离,COPLANARITY,未分类
,4.1,,,,2.3,0.2,,,,,,0.3
,4.0,,,,2.1,0.08,,,,,,0.25
,3.9,,,,2.0,,,,,,,0.18
,0.5,,,,,,,,,,,
,0.65,,,,,,,,,,,
,0.6,,,,,,,,,,,
,0.55,,,,,,,,,,,
,0.8,,,,,,,,,,,
,0.75,,,,,,,,,,,
,0.05,,,,,,,,,,,
,0.7,,,,,,,,,,,
,0.02,,,,,,,,,,,
,0.2,,,,,,,,,,,
