厚度,外边长,EXPOSED_PAD宽度,脚长度,脚宽度,EXPOSED_PAD长度,脚间距,拐角限制,芯片底到pcb最大距离,芯片底到pcb标准距离,针脚到pcb距离,COPLANARITY,未分类
0.8,3.1,1.74,0.5,0.3,2.48,0.5,0.2,0.05,0.02,0.2,0.08,
0.75,3.0,1.64,0.4,0.25,2.38,,,,,,,
0.7,2.9,1.49,0.3,0.2,2.23,,,,,,,
